MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60247.220971,15.072,0.019,3398,63,o,0,2.51,41.57554,-30.23949,5951.48,4638.34,2.12,1.98,-32.3,-0.474,17.81,18.05,04a60247o0487o
60247.227757,15.042,0.019,3492,65,o,0,1.89,41.57554,-30.23949,5894.34,4554.47,2.13,1.99,-27.9,-0.464,17.79,17.86,04a60247o0501o
60247.251581,15.04,0.013,3499,46,o,0,3.76,41.57554,-30.23949,5875.98,4648.96,2.07,1.95,-43.8,-0.458,18.12,19.0,04a60247o0549o
60248.944881,15.05,0.009,3467,30,o,0,5.25,41.57554,-30.23949,7026.6,8507.88,2.48,2.05,-43.7,-0.411,19.0,19.71,03a60249o0381o
60248.974641,15.066,0.009,3417,32,o,0,3.72,41.57554,-30.23949,7040.1,8547.74,2.58,2.14,-46.7,-0.406,18.84,19.5,03a60249o0444o
60248.977808,15.051,0.009,3463,30,o,0,4.8,41.57554,-30.23949,6985.73,8468.69,2.5,2.1,-44.1,-0.408,18.9,19.51,03a60249o0451o
60248.983367,15.029,0.009,3536,31,o,0,5.76,41.57554,-30.23949,6965.42,8584.25,2.59,2.16,-47.5,-0.402,18.86,19.55,03a60249o0463o
60252.09039,15.098,0.008,3318,28,o,0,6.36,41.57554,-30.23949,9989.77,7021.28,3.11,2.37,-50.9,-0.372,19.03,20.16,03a60252o0379o
60252.106206,-19.927,0.632,-39,24,o,0,0.84,41.57554,-30.23949,38.14,6812.82,3.17,2.75,-61.2,-0.361,18.83,19.75,03a60252o0411o
60253.186582,15.035,0.007,3515,26,o,0,29.04,41.57554,-30.23949,10141.5,6901.81,2.59,2.22,-10.8,-0.445,19.46,20.95,04a60253o0336o
60253.189786,15.081,0.008,3371,26,o,0,25.55,41.57554,-30.23949,10161.32,6937.81,2.64,2.08,-4.6,-0.383,19.5,20.95,04a60253o0343o
60253.199586,15.103,0.008,3302,25,o,0,36.72,41.57554,-30.23949,10104.54,6848.98,2.62,2.09,0.1,-0.408,19.48,20.94,04a60253o0362o
60253.201894,15.122,0.007,3246,24,o,0,4.55,41.57554,-30.23949,240.24,6894.88,2.62,2.15,82.9,-0.368,19.44,20.97,04a60253o0367o
60253.204764,15.112,0.007,3275,24,o,0,6.24,41.57554,-30.23949,261.39,6930.26,2.62,2.16,81.9,-0.367,19.45,20.96,04a60253o0373o
60253.209704,15.107,0.008,3291,25,o,0,12.09,41.57554,-30.23949,10088.47,6956.49,2.81,2.53,-20.8,-0.404,19.33,20.95,04a60253o0383o
60253.210605,15.138,0.008,3197,25,o,0,3.33,41.57554,-30.23949,205.23,6848.3,2.7,2.31,89.3,-0.358,19.38,20.96,04a60253o0385o
60256.185353,15.093,0.008,3333,26,o,0,22.17,41.57554,-30.23949,4097.66,6640.79,1.98,1.89,-41.0,-0.426,19.5,20.95,04a60256o0350o
60256.21521,15.111,0.008,3277,26,o,0,30.29,41.57554,-30.23949,4123.79,6649.19,1.91,1.73,-72.9,-0.419,19.53,20.89,04a60256o0414o
60256.21802,15.109,0.007,3283,24,o,0,41.57,41.57554,-30.23949,4065.41,6570.89,1.89,1.82,-62.7,-0.439,19.53,20.82,04a60256o0420o
60256.225357,15.124,0.008,3240,24,o,0,40.9,41.57554,-30.23949,4046.53,6680.05,1.94,1.86,-47.3,-0.436,19.49,20.83,04a60256o0436o
60257.927359,15.679,0.009,1942,18,c,0,6.32,41.57554,-30.23949,10150.9,588.49,2.64,2.3,-49.2,-0.419,19.81,21.9,03a60258o0328c
